X	Y	Z	X	Y	Z	X	Y	Z
0.19458	-0.0300293	-1.00171	-0.00543213	-0.00640869	0.00622559	-3525.29	2850	374.707
0.190918	-0.0241699	-1.01489	-0.00439453	-0.00506592	0.00842285	-3825.29	3150	524.707
0.200195	-0.0236816	-1.00562	-0.0032959	-0.00421143	0.00750732	-3150.29	2775	599.707
0.186279	-0.0302734	-1.01221	-0.00512695	-0.00848389	0.00726318	-3600.29	2925	299.707
0.19043	-0.029541	-1.01074	-0.00531006	-0.00402832	0.00701904	-3450.29	3075	449.707
0.193848	-0.0268555	-1.00977	-0.00396729	-0.00567627	0.00653076	-3300.29	2775	749.707
0.191162	-0.029541	-1.00806	-0.00598145	-0.00469971	0.0078125	-3600.29	2925	599.707
0.189697	-0.0275879	-1.00879	-0.00469971	-0.00720215	0.00921631	-3450.29	2775	749.707
0.198486	-0.0305176	-1.01733	-0.0055542	-0.00396729	0.00915527	-3600.29	3075	449.707
0.193359	-0.0317383	-1.01367	-0.00390625	-0.00762939	0.00695801	-3300.29	3075	299.707
0.196777	-0.027832	-1.0144	-0.00518799	-0.00439453	0.00775146	-3525.29	3150	524.707
0.190674	-0.0251465	-1.00757	-0.00402832	-0.00445557	0.00860596	-3525.29	3300	224.707
0.198242	-0.0263672	-1.01099	-0.00457764	-0.00488281	0.00762939	-3675.29	3300	524.707
0.196777	-0.0314941	-1.01489	-0.00695801	0.00280762	0.00683594	-3600.29	3075	449.707
0.193115	-0.0366211	-1.01953	-0.003479	-0.00628662	0.0067749	-3675.29	2700	674.707
0.193115	-0.0239258	-1.0105	-0.00506592	-0.00286865	0.00878906	-3675.29	3000	524.707
0.19751	-0.0290527	-1.02686	-0.00427246	-0.0045166	0.00750732	-3675.29	2850	524.707
0.196533	-0.027832	-1.01221	-0.00506592	-0.00384521	0.00897217	-3225.29	2550	224.707
0.196045	-0.0356445	-1.02368	-0.00726318	-0.00872803	0.00762939	-3375.29	3300	524.707
0.192627	-0.0324707	-1.02295	-0.00482178	-0.00012207	0.0078125	-3825.29	3000	674.707
0.177246	-0.0290527	-1.02197	-0.00622559	0.00592041	0.00756836	-3600.29	3525	449.707
0.192383	-0.0310059	-1.02075	-0.00262451	-0.000976563	0.0065918	-3300.29	3075	449.707
0.197754	-0.0310059	-1.02466	-0.0043335	-0.0112915	0.00958252	-3300.29	2775	449.707
0.188477	-0.0234375	-1.01392	-0.0045166	-0.00286865	0.00811768	-3525.29	2850	374.707
0.192627	-0.0314941	-1.0127	-0.00439453	-0.010376	0.00793457	-3450.29	2775	299.707
0.195801	-0.0300293	-1.01514	-0.00628662	-0.00109863	0.00823975	-3525.29	3300	374.707
